game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,group,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,on_3b_x,on_2b_x,on_1b_x,outs_when_up_x,on_3b_y,on_2b_y,on_1b_y,outs_when_up_y,team_x,ba_x,ops_x,ld_percent_x,gb_percent_x,fb_percent_x,bb_percent_x,k_percent_x,team_y,ba_y,ops_y,ld_percent_y,gb_percent_y,fb_percent_y,bb_percent_y,k_percent_y,pitch_type_grouped,pitch_type_encoded,pitch_type_binary,runners_on,outs_remaining,late_game,high_leverage_score,high_leverage_situation,previous_pitch_1,previous_pitch_2,previous_pitch_3,previous_pitch_4,previous_pitch_1_encoded,previous_pitch_2_encoded,previous_pitch_3_encoded,previous_pitch_4_encoded,prev_pitch_outcome_grouped,prev_pitch_outcome_encoded,rolling_pitch_freq,batter_rolling_avg,pitcher_hand_encoded,batter_hand_encoded,log_rolling_pitch_freq,count_encoded,pitch_1_count_interaction,pitcher_batter_matchup
744943,2024-05-11,2,Top,592332,666397,FS,88.4,1776.0,-2.49,53.85,5.5,-1.29,0.31,-0.16,0.45,13.0,walk,blocked_ball,,,,88.9,240.0,9526,4,2,,467793.0,,1.0,,,,,,,,,MIN,0.199,0.616,0.238,0.439,0.323,0.11,0.339,MIN,0.199,0.616,0.238,0.439,0.323,0.11,0.339,Other,4,0,True,2.0,0,0.5192307692307693,1,3,4,4,4,4,5,5,5,Strike,6,0.09929078014184398,0.1,1,0,0.09466522654107834,14,56,0
745632,2024-07-23,5,Top,674370,514888,SL,85.4,2209.0,-2.24,54.22,5.87,0.4,0.58,0.2,0.91,14.0,,foul,,,,85.0,50.0,18810,3,2,,665161.0,694388.0,2.0,,,,,,,,,HOU,0.295,0.79,0.246,0.419,0.335,0.069,0.174,HOU,0.295,0.79,0.246,0.419,0.335,0.069,0.174,SL,6,0,True,1.0,0,0.28846153846153855,0,2,6,5,6,3,7,6,7,Foul,3,0.1276595744680851,0.0,1,1,0.12014431184206324,11,33,1
746921,2024-08-12,3,Bot,641816,608701,FF,93.6,2411.0,-2.13,53.82,5.54,-0.78,1.38,1.62,2.32,14.0,,ball,,,,93.9,212.0,11563,1,1,678882.0,,,2.0,,,,,,,,,BOS,0.283,0.83,0.215,0.456,0.328,0.091,0.254,BOS,0.283,0.83,0.215,0.456,0.328,0.091,0.254,FF,3,1,True,1.0,0,0.28846153846153855,0,4,6,6,5,5,7,7,6,Strike,6,0.1276595744680851,0.0,1,1,0.12014431184206324,4,20,1
745310,2024-07-27,5,Top,806185,678662,CH,87.5,971.0,-0.94,53.61,6.28,-0.63,-0.33,1.23,-1.14,14.0,,ball,,,,87.9,271.0,22680,3,2,,656541.0,,1.0,,,,,,,,,COL,0.269,0.763,0.213,0.328,0.459,0.033,0.288,COL,0.269,0.763,0.213,0.328,0.459,0.033,0.288,CH,1,0,True,2.0,0,0.5192307692307693,1,6,6,0,0,7,7,1,1,Foul,3,0.1631205673758865,0.0,1,1,0.15110653744603014,11,77,1
746029,2024-08-20,7,Bot,657044,669065,SL,79.9,2193.0,-3.85,53.82,3.84,0.61,0.97,-0.92,3.18,11.0,,called_strike,,,,80.5,89.0,19181,1,2,,,,0.0,,,,,,,,,- - -,0.208,0.601,0.176,0.496,0.328,0.062,0.354,- - -,0.208,0.601,0.176,0.496,0.328,0.062,0.354,SL,6,0,False,3.0,1,0.7115384615384616,0,6,6,5,5,7,7,6,6,Ball,0,0.06382978723404255,0.0,1,0,0.06187540371808747,5,35,0
746851,2024-07-24,8,Top,643410,596142,SI,93.0,1963.0,-1.16,53.9,5.82,-0.94,1.07,0.8,2.95,3.0,,called_strike,,,,93.7,210.0,20494,0,1,,,,1.0,,,,,,,,,MIL,0.22,0.699,0.186,0.401,0.413,0.096,0.271,MIL,0.22,0.699,0.186,0.401,0.413,0.096,0.271,SI,5,1,False,2.0,1,0.48076923076923084,0,4,5,0,1,5,6,1,2,Batted_Ball,1,0.0070921985815602835,0.0,1,1,0.0070671672230924526,1,5,1
746283,2024-07-03,2,Bot,686752,669004,FF,94.9,2322.0,-1.01,53.62,6.03,-0.88,1.37,0.08,2.81,2.0,,foul,75.6,69.0,182.0,96.2,207.0,2128,1,1,,,592669.0,2.0,,,,,,,,,KCR,0.206,0.674,0.167,0.421,0.411,0.078,0.251,KCR,0.206,0.674,0.167,0.421,0.411,0.078,0.251,FF,3,1,True,1.0,0,0.28846153846153855,0,3,6,3,3,4,7,4,4,Ball,0,0.0921985815602837,0.3,1,0,0.08819271203546089,4,16,0
746302,2024-06-07,7,Bot,663423,521692,ST,81.7,2914.0,-2.0,54.38,4.62,0.73,0.44,0.59,1.88,9.0,field_out,hit_into_play,98.4,40.0,329.0,82.4,85.0,6550,1,1,,,,2.0,,,,,,,,,KCR,0.271,0.786,0.221,0.334,0.445,0.067,0.198,KCR,0.271,0.786,0.221,0.334,0.445,0.067,0.198,ST,7,0,False,1.0,1,0.25,0,7,5,0,3,8,6,1,4,Foul,3,0.014184397163120567,0.0,1,1,0.014084739881739002,4,32,1
745280,2024-09-27,9,Bot,664854,573262,SL,90.1,2394.0,-0.26,54.02,6.28,0.42,0.4,-0.42,2.86,1.0,,swinging_strike,,,,90.7,176.0,25750,1,2,,,,1.0,,,,,,,,,SFG,0.231,0.739,0.183,0.359,0.458,0.08,0.262,SFG,0.231,0.739,0.183,0.359,0.458,0.08,0.262,SL,6,0,False,2.0,1,0.48076923076923084,0,3,3,6,6,4,4,7,7,Foul,3,0.02127659574468085,0.1,1,0,0.021053409197832343,5,20,0
745406,2024-06-07,8,Bot,528748,630105,FC,85.5,1937.0,-2.61,54.31,4.72,-0.14,0.53,-0.35,3.18,1.0,field_out,hit_into_play,101.8,15.0,338.0,85.6,203.0,6123,1,2,,640492.0,,1.0,,,,,,,,,SDP,0.241,0.714,0.196,0.435,0.37,0.093,0.18,SDP,0.241,0.714,0.196,0.435,0.37,0.093,0.18,FC,2,1,True,2.0,1,0.7692307692307694,1,2,2,3,1,3,3,4,2,Foul,3,0.0851063829787234,0.0,1,0,0.08167803101426718,5,15,0
745363,2024-04-08,4,Top,669062,671277,CH,84.7,1760.0,1.79,53.98,6.02,1.45,0.14,-1.34,0.54,13.0,,blocked_ball,,,,84.8,96.0,6891,3,2,,,,,,,702358.0,2.0,,,,,,,,,,,,,,,,,,,,,CH,1,0,False,3.0,0,0.46153846153846156,0,1,6,6,1,2,7,7,2,Ball,0,0.14184397163120566,0.0,0,0,0.1326444746062947,11,22,0
745925,2024-04-08,4,Top,641927,518692,FF,91.7,2269.0,-1.23,52.94,6.07,-0.53,1.52,0.71,2.59,6.0,,called_strike,,,,93.5,213.0,7197,0,1,,,,,,,,0.0,,,,,LAD,0.282,0.854,0.227,0.387,0.387,0.122,0.157,LAD,0.282,0.854,0.227,0.387,0.387,0.122,0.157,FF,3,1,False,3.0,0,0.46153846153846156,0,3,3,3,1,4,4,4,2,Batted_Ball,1,0.43262411347517726,0.1,1,0,0.3595078070230365,1,4,0
745427,2024-04-29,9,Top,663568,669289,ST,84.2,2582.0,-1.71,53.89,5.38,1.31,-0.23,2.12,0.63,14.0,,blocked_ball,,,,84.4,47.0,28038,1,1,,,,,,605361.0,600869.0,2.0,,,,,CIN,0.246,0.65,0.244,0.388,0.368,0.061,0.138,CIN,0.246,0.65,0.244,0.388,0.368,0.061,0.138,ST,7,0,False,3.0,1,0.7115384615384616,0,5,1,4,3,6,2,5,4,Strike,6,0.02127659574468085,0.0,1,1,0.021053409197832343,4,24,1
746706,2024-05-29,5,Bot,669467,605361,FF,94.5,2261.0,-1.74,53.96,6.15,0.17,0.64,0.71,3.41,3.0,field_out,hit_into_play,64.1,54.0,175.0,95.0,180.0,28589,1,2,,,,0.0,,,,,,,,,CIN,0.212,0.641,0.18,0.405,0.414,0.055,0.233,CIN,0.212,0.641,0.18,0.405,0.414,0.055,0.233,FF,3,1,False,3.0,0,0.46153846153846156,0,3,3,3,5,4,4,4,6,Foul,3,0.2624113475177305,0.0,1,0,0.23302365991391685,5,20,0
