game_id,game_date,inning,inning_topbot,pitcher_id,batter_id,pitch_type,pitch_type,release_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,zone,events,description,launch_speed,launch_angle,hit_distance_sc,effective_speed,spin_axis,stand,p_throws
748583,2023-10-04,6,Top,573204,656305,FF,4-Seam Fastball,92.9,2316,0.72,53.92,5.94,0.33,1.6,-0.04,1.91,8,,foul,111.8,13.0,253.0,93.2,153,R,L
748583,2023-10-04,6,Top,573204,656305,CU,Curveball,73.1,2450,0.57,53.69,6.02,-0.89,-1.32,0.01,1.42,14,,ball,,,,73.5,334,R,L
748583,2023-10-04,6,Top,573204,669289,CU,Curveball,73.5,2502,0.78,54.12,6.08,-0.88,-1.39,-0.44,1.68,7,single,hit_into_play,55.1,-55.0,1.0,73.5,332,R,L
748583,2023-10-04,6,Top,686973,672386,SI,Sinker,96.6,2057,-1.4,53.67,5.36,-1.23,0.81,-0.47,2.13,4,single,hit_into_play,91.8,8.0,157.0,97.9,217,R,R
748583,2023-10-04,6,Top,686973,672386,SI,Sinker,96.3,2096,-1.42,53.28,5.27,-1.02,0.83,-0.19,3.12,2,,called_strike,,,,98.3,218,R,R
748583,2023-10-04,6,Top,686973,672386,SI,Sinker,95.4,2114,-1.34,53.66,5.39,-1.18,0.83,-0.9,1.86,13,,ball,,,,96.6,212,R,R
748583,2023-10-04,6,Top,686973,624415,FF,4-Seam Fastball,98.2,2215,-1.28,53.4,5.36,-0.69,1.24,0.19,2.44,5,single,hit_into_play,104.0,13.0,247.0,99.8,211,L,R
748583,2023-10-04,6,Top,686973,624415,FF,4-Seam Fastball,97.1,2165,-1.47,53.64,5.37,-0.45,1.15,-1.1,3.84,11,,ball,,,,98.4,213,L,R
748583,2023-10-04,6,Top,686973,624415,FF,4-Seam Fastball,97.0,2285,-1.57,53.63,5.45,-0.58,1.28,-0.22,3.49,2,,called_strike,,,,98.3,212,L,R
748583,2023-10-04,6,Top,686973,624415,FC,Cutter,93.8,2520,-1.61,53.56,5.44,0.06,0.87,1.0,-0.28,14,,ball,,,,95.3,209,L,R
748583,2023-10-04,6,Top,686973,624415,CH,Changeup,88.8,1619,-1.56,53.64,5.51,-1.34,0.51,-1.12,3.15,11,,ball,,,,90.0,233,L,R
748583,2023-10-04,6,Top,686973,666182,FF,4-Seam Fastball,98.8,2263,-1.3,53.59,5.59,-0.73,1.26,-0.24,2.31,8,strikeout,swinging_strike,,,,100.4,211,R,R
748583,2023-10-04,6,Top,686973,666182,FF,4-Seam Fastball,100.1,2345,-1.07,53.62,5.63,-0.39,1.4,0.83,2.7,12,,ball,,,,101.4,201,R,R
748583,2023-10-04,6,Top,686973,666182,FF,4-Seam Fastball,99.5,2241,-1.28,53.69,5.48,-0.54,1.33,-0.35,3.45,1,,foul,76.9,24.0,221.0,100.9,217,R,R
748583,2023-10-04,6,Top,686973,666182,FF,4-Seam Fastball,99.6,2130,-0.96,53.64,5.62,-0.27,1.16,0.42,2.74,6,,foul,93.7,11.0,195.0,101.2,207,R,R
748583,2023-10-04,6,Top,686973,666182,FC,Cutter,91.0,2396,-1.41,53.87,5.61,0.23,0.51,0.65,1.95,9,,foul,98.0,15.0,278.0,92.4,178,R,R
748583,2023-10-04,6,Top,686973,666182,FF,4-Seam Fastball,99.0,2237,-1.22,53.48,5.53,-0.63,1.26,1.37,2.63,12,,ball,,,,100.7,212,R,R
748583,2023-10-04,6,Top,686973,666182,FF,4-Seam Fastball,99.0,2229,-1.13,53.73,5.69,-0.74,1.2,0.0,2.64,5,,foul,85.2,13.0,181.0,100.1,209,R,R
748583,2023-10-04,6,Top,686973,666182,FC,Cutter,89.1,2306,-1.36,53.79,5.51,0.12,0.46,-0.82,3.14,1,,foul,56.0,13.0,95.0,90.6,198,R,R
748583,2023-10-04,6,Top,686973,666182,FC,Cutter,91.9,2377,-1.38,53.84,5.57,0.31,0.82,-0.05,4.68,11,,ball,,,,93.1,197,R,R
748583,2023-10-04,5,Bot,554340,668904,FF,4-Seam Fastball,97.2,2547,-2.49,54.63,5.13,-1.1,1.05,0.57,2.93,3,strikeout,swinging_strike,,,,96.6,233,R,R
748583,2023-10-04,5,Bot,554340,668904,CU,Curveball,83.9,2789,-2.64,54.78,5.34,0.7,0.02,1.33,1.04,14,,ball,,,,83.3,77,R,R
