idfg,season,name,team,age,games,plate_appearances,at_bats,hits,doubles,triples,home_runs,runs,rbi,bb_percent,k_percent,walks,strikeouts,stolen_bases,caught_stealing,batting_average,on_base_percentage,slugging_percentage,ops,wrc_plus,iso,babip,ld_percent,gb_percent,fb_percent,hard_hit_percent
29576,2024,Ben Rice,NYY,25,50,178,152,26,6,0,7,20,23,0.11199999999999999,0.27,20,48,0,1,0.171,0.264,0.349,0.613,73,0.178,0.186,0.20199999999999999,0.358,0.44,0.36700000000000005
24598,2024,Addison Barger,TOR,24,69,225,208,41,11,0,7,20,28,0.062,0.267,14,60,2,0,0.197,0.25,0.351,0.601,70,0.154,0.239,0.215,0.423,0.36200000000000004,0.38
31595,2024,Brooks Lee,MIN,23,50,185,172,38,6,1,3,9,27,0.059000000000000004,0.146,11,27,3,0,0.221,0.265,0.32,0.585,62,0.099,0.243,0.204,0.415,0.381,0.245
14130,2024,Daniel Vogelbach,TOR,31,31,79,70,13,5,0,1,5,8,0.114,0.215,9,17,0,0,0.186,0.278,0.3,0.578,69,0.114,0.231,0.20800000000000002,0.491,0.302,0.434
19455,2024,Andruw Monasterio,MIL,27,59,142,125,26,5,0,1,14,16,0.113,0.282,16,40,6,2,0.208,0.303,0.272,0.575,68,0.064,0.298,0.19,0.39299999999999996,0.41700000000000004,0.41200000000000003
23986,2024,Curtis Mead,TBR,23,38,132,122,29,3,0,1,10,7,0.045,0.22699999999999998,6,30,2,0,0.238,0.282,0.287,0.569,67,0.049,0.304,0.247,0.355,0.39799999999999996,0.36200000000000004
17326,2024,Cole Tucker,LAA,27,25,57,50,9,4,1,0,3,3,0.105,0.298,6,17,3,1,0.18,0.263,0.3,0.563,58,0.12,0.265,0.20600000000000002,0.529,0.265,0.441
27604,2024,Alika Williams,PIT,25,37,96,87,18,4,2,0,13,5,0.031,0.22899999999999998,3,22,1,0,0.207,0.242,0.299,0.541,47,0.092,0.277,0.27699999999999997,0.4,0.32299999999999995,0.271
29788,2024,Brett Harris,OAK,26,36,123,103,15,3,0,3,15,12,0.138,0.203,17,25,0,3,0.146,0.276,0.262,0.539,65,0.117,0.158,0.10300000000000001,0.436,0.462,0.36700000000000005
15730,2024,Tyler Wade,SDP,29,90,156,138,30,3,0,0,28,8,0.071,0.18600000000000003,11,29,8,1,0.217,0.285,0.239,0.524,56,0.022,0.275,0.257,0.41600000000000004,0.327,0.175
24770,2024,James Outman,LAD,27,53,156,136,20,4,0,4,12,11,0.10300000000000001,0.353,16,55,2,1,0.147,0.256,0.265,0.521,54,0.118,0.208,0.272,0.321,0.40700000000000003,0.38299999999999995
22168,2024,Akil Baddoo,DET,25,31,82,73,10,2,2,2,7,5,0.098,0.32899999999999996,8,27,1,0,0.137,0.22,0.301,0.521,46,0.164,0.178,0.17,0.34,0.489,0.46799999999999997
13768,2024,Travis Jankowski,TEX,33,104,207,190,38,5,0,1,19,12,0.057999999999999996,0.213,12,44,11,1,0.2,0.266,0.242,0.508,48,0.042,0.255,0.11900000000000001,0.608,0.273,0.247
23296,2024,Jacob Amaya,- - -,25,24,72,68,12,1,0,0,4,3,0.055999999999999994,0.389,4,28,1,0,0.176,0.222,0.191,0.413,17,0.015,0.3,0.225,0.525,0.25,0.325
13621,2024,Jeimer Candelario,CIN,30,112,463,427,96,23,2,20,47,56,0.057999999999999996,0.24600000000000002,27,114,4,3,0.225,0.279,0.429,0.707,87,0.204,0.257,0.184,0.415,0.402,0.342
16219,2024,J.D. Davis,- - -,31,46,157,142,31,5,0,4,13,6,0.076,0.248,12,39,0,0,0.218,0.293,0.338,0.631,86,0.12,0.273,0.11699999999999999,0.6409999999999999,0.243,0.43700000000000006
15161,2024,Mitch Garver,SEA,33,114,430,367,63,17,0,15,37,51,0.12300000000000001,0.309,53,133,0,0,0.172,0.286,0.341,0.627,88,0.169,0.216,0.152,0.363,0.485,0.397
17893,2024,Tyler Nevin,OAK,27,87,278,245,50,10,0,7,22,20,0.09,0.23,25,64,1,0,0.204,0.288,0.331,0.618,82,0.127,0.243,0.196,0.429,0.375,0.402
25543,2024,Korey Lee,CHW,25,125,394,377,79,14,1,12,36,37,0.043,0.31,17,122,6,3,0.21,0.244,0.347,0.591,64,0.138,0.276,0.159,0.48200000000000004,0.359,0.376
