idfg,season,name,team,age,wins,losses,war,era,games,games_started,innings_pitched,strikeouts,walks,home_runs,whip,k_per_9,bb_per_9,k_percent,bb_percent,fip,xfip,babip,lob_percent,hard_hit_percent,flyball_percent,fb_velocity,sl_percent,sl_velocity,ch_percent,ch_velocity,cb_percent,cb_velocity,ld_percent,gb_percent,hr_per_9
25436,2024,George Kirby,SEA,26,14,11,4.2,3.53,33,33,191.0,179,23,22,1.07,8.43,1.08,0.23,0.03,3.26,3.58,0.291,0.716,0.359,0.40700000000000003,96.1,0.239,87.2,,,0.08,83.3,0.18,0.413,1.04
22250,2024,Logan Gilbert,SEA,27,9,12,4.1,3.23,33,33,208.2,220,37,26,0.89,9.49,1.6,0.27399999999999997,0.046,3.27,3.11,0.236,0.695,0.39299999999999996,0.377,96.6,0.32,88.5,,,0.11800000000000001,83.3,0.172,0.451,1.12
19853,2024,Michael King,SDP,29,13,9,3.9,2.95,31,30,173.2,201,63,17,1.19,10.42,3.26,0.27699999999999997,0.087,3.33,3.5,0.29,0.752,0.301,0.368,93.3,0.17800000000000002,82.1,0.244,86.7,,,0.228,0.40399999999999997,0.88
19879,2024,Tanner Houck,BOS,28,9,10,3.9,3.12,30,30,178.2,154,48,11,1.14,7.76,2.42,0.207,0.065,3.32,3.58,0.282,0.7090000000000001,0.413,0.239,93.6,0.414,83.2,,,,,0.201,0.5589999999999999,0.55
12768,2024,Sonny Gray,STL,34,13,9,3.8,3.84,28,28,166.1,203,39,21,1.09,10.98,2.11,0.303,0.057999999999999996,3.12,2.82,0.299,0.679,0.37799999999999995,0.353,92.6,0.203,84.8,0.064,88.4,0.139,80.0,0.22399999999999998,0.423,1.14
22182,2024,Hunter Greene,CIN,24,9,5,3.8,2.75,26,26,150.1,169,57,12,1.02,10.12,3.41,0.27699999999999997,0.09300000000000001,3.47,4.19,0.237,0.805,0.32,0.483,97.7,0.34700000000000003,86.9,,,0.017,81.0,0.177,0.34,0.72
14374,2024,Tyler Glasnow,LAD,30,9,6,3.8,3.49,22,22,134.0,168,35,15,0.95,11.28,2.35,0.322,0.067,2.9,2.68,0.253,0.698,0.395,0.349,96.4,0.276,90.0,,,0.18600000000000003,83.8,0.165,0.486,1.01
19361,2024,Corbin Burnes,BAL,29,15,9,3.7,2.92,32,32,194.1,181,48,22,1.1,8.38,2.22,0.231,0.061,3.55,3.55,0.269,0.755,0.316,0.345,97.0,0.145,87.2,0.111,89.3,0.21600000000000003,80.3,0.17300000000000001,0.48200000000000004,1.02
17295,2024,Framber Valdez,HOU,30,15,7,3.6,2.91,28,28,176.1,169,55,13,1.11,8.63,2.81,0.24,0.078,3.25,3.08,0.276,0.7709999999999999,0.44799999999999995,0.2,94.2,,,0.17300000000000001,89.9,0.313,79.7,0.19399999999999998,0.606,0.66
17277,2024,Ranger Suarez,PHI,28,12,8,3.5,3.46,27,27,150.2,145,41,14,1.2,8.66,2.45,0.23199999999999998,0.065,3.37,3.26,0.299,0.7390000000000001,0.34299999999999997,0.258,91.2,0.001,82.7,0.163,80.1,0.205,74.5,0.223,0.519,0.84
12730,2024,Nick Martinez,CIN,33,10,7,3.5,3.1,42,16,142.1,116,18,13,1.03,7.33,1.14,0.204,0.032,3.21,3.89,0.275,0.715,0.304,0.414,92.4,0.059000000000000004,85.0,0.21600000000000003,80.1,0.11900000000000001,80.9,0.21600000000000003,0.369,0.82
20633,2024,Yusei Kikuchi,- - -,33,9,10,3.5,4.05,32,32,175.2,206,44,25,1.2,10.55,2.25,0.28,0.06,3.46,3.2,0.309,0.7190000000000001,0.444,0.386,95.6,0.23399999999999999,88.4,0.111,86.8,0.185,82.5,0.188,0.426,1.28
