hitter_archetype,pitcher_archetype,total_pitches,zone_distribution
Power Hitter,High Spin,1295,"{""5.0"": 0.20617760617760617, ""8.0"": 0.15444015444015444, ""9.0"": 0.12664092664092663, ""6.0"": 0.11428571428571428, ""4.0"": 0.08803088803088803, ""7.0"": 0.08571428571428572, ""2.0"": 0.05250965250965251, ""14.0"": 0.047876447876447875, ""13.0"": 0.0416988416988417, ""3.0"": 0.02471042471042471, ""1.0"": 0.021621621621621623, ""11.0"": 0.019305019305019305, ""12.0"": 0.01698841698841699}"
Contact Hitter,Average Spin,91403,"{""14.0"": 0.17601557969825277, ""13.0"": 0.14156300259296944, ""11.0"": 0.1281386418091706, ""12.0"": 0.09281080075710331, ""5.0"": 0.0638505049178893, ""4.0"": 0.05737355171168806, ""8.0"": 0.05587466220282054, ""6.0"": 0.05423354230260063, ""9.0"": 0.05094036170282601, ""2.0"": 0.04997757136136366, ""7.0"": 0.0474064835176858, ""1.0"": 0.04409142131924158, ""3.0"": 0.03772387610638833}"
Contact Hitter,High Spin,20990,"{""14.0"": 0.3020009528346832, ""13.0"": 0.12691757979990473, ""11.0"": 0.07989518818484993, ""5.0"": 0.06598380181038589, ""9.0"": 0.0631252977608385, ""12.0"": 0.061219628394473556, ""8.0"": 0.05940924249642687, ""6.0"": 0.05645545497856122, ""4.0"": 0.04454502143878037, ""7.0"": 0.040781324440209626, ""2.0"": 0.039352072415435924, ""1.0"": 0.0319676036207718, ""3.0"": 0.02834683182467842}"
Power Hitter,Average Spin,8105,"{""5.0"": 0.19753238741517581, ""8.0"": 0.14373843306600864, ""4.0"": 0.12634176434299815, ""6.0"": 0.10376310919185688, ""7.0"": 0.08155459592843924, ""2.0"": 0.07254780999383097, ""9.0"": 0.06933991363355953, ""13.0"": 0.04305983960518198, ""1.0"": 0.04256631708821715, ""3.0"": 0.04207279457125231, ""14.0"": 0.02998149290561382, ""11.0"": 0.026403454657618754, ""12.0"": 0.02109808760024676}"
Power Hitter,High Spin,1420,"{""5.0"": 0.18873239436619718, ""8.0"": 0.14225352112676057, ""6.0"": 0.11549295774647887, ""9.0"": 0.10352112676056338, ""4.0"": 0.09929577464788733, ""7.0"": 0.08661971830985915, ""2.0"": 0.061971830985915494, ""14.0"": 0.059154929577464786, ""13.0"": 0.05563380281690141, ""3.0"": 0.027464788732394368, ""1.0"": 0.02464788732394366, ""12.0"": 0.023943661971830985, ""11.0"": 0.011267605633802818}"
Contact Hitter,Average Spin,89664,"{""14.0"": 0.17738643587656, ""13.0"": 0.13763759856351004, ""11.0"": 0.12872645349809844, ""12.0"": 0.09347222377123228, ""5.0"": 0.06348214982768813, ""8.0"": 0.056690050522512074, ""4.0"": 0.056466993074066225, ""6.0"": 0.05644468732922164, ""2.0"": 0.05065634654205191, ""9.0"": 0.05041098334876147, ""1.0"": 0.04528066203450699, ""7.0"": 0.04455572532705798, ""3.0"": 0.038789690284732836}"
Contact Hitter,High Spin,21308,"{""14.0"": 0.3000750891683875, ""13.0"": 0.1314999061385395, ""11.0"": 0.07706025905763093, ""9.0"": 0.06335648582691947, ""5.0"": 0.06063450347287404, ""12.0"": 0.06058757274263187, ""8.0"": 0.059179650835367, ""6.0"": 0.056363807020837244, ""4.0"": 0.045616669795382016, ""7.0"": 0.04261310305988361, ""2.0"": 0.04064201238971278, ""1.0"": 0.03341467993241975, ""3.0"": 0.028956260559414304}"
Power Hitter,Average Spin,8256,"{""5.0"": 0.2010658914728682, ""8.0"": 0.14280523255813954, ""4.0"": 0.12124515503875968, ""6.0"": 0.10586240310077519, ""2.0"": 0.07642926356589147, ""7.0"": 0.07388565891472869, ""9.0"": 0.06916182170542635, ""1.0"": 0.04796511627906977, ""3.0"": 0.047117248062015504, ""13.0"": 0.037063953488372096, ""14.0"": 0.03234011627906977, ""11.0"": 0.025314922480620155, ""12.0"": 0.019743217054263566}"
Power Hitter,High Spin,1521,"{""5.0"": 0.1873767258382643, ""8.0"": 0.17685733070348456, ""6.0"": 0.10782380013149244, ""9.0"": 0.1032215647600263, ""4.0"": 0.09993425378040763, ""7.0"": 0.06640368178829717, ""2.0"": 0.05719921104536489, ""14.0"": 0.055226824457593686, ""13.0"": 0.04602235371466141, ""1.0"": 0.0381328073635766, ""3.0"": 0.03353057199211045, ""12.0"": 0.014464168310322156, ""11.0"": 0.013806706114398421}"
Contact Hitter,Average Spin,42665,"{""14.0"": 0.17182767344902541, ""13.0"": 0.13665680789651855, ""11.0"": 0.1302783023910487, ""12.0"": 0.09557068025514022, ""5.0"": 0.06585183337490647, ""6.0"": 0.05687203791469194, ""4.0"": 0.055981185190464314, ""8.0"": 0.054413284395823686, ""2.0"": 0.05156255567829526, ""9.0"": 0.049246338595303425, ""1.0"": 0.04543348893560917, ""7.0"": 0.04404375868581406, ""3.0"": 0.0422620532373588}"
