pitch_type,avg_velocity,avg_spin_rate,avg_horizontal_break,avg_vertical_break,avg_plate_x,avg_plate_z,zone_distribution
FF,95.21803930744034,2355.959279194945,-0.19663079082826393,1.4050982686008424,0.013348151614412728,2.767487131492747,"{11: 0.1525503041647169, 12: 0.14997660271408517, 14: 0.09007955077211044, 5: 0.08890968647636874, 2: 0.08797379503977538, 6: 0.07136172204024332, 13: 0.06761815629386991, 4: 0.0627047262517548, 1: 0.06036499766027141, 3: 0.05779129620963968, 8: 0.039541413196069256, 9: 0.03837154890032756, 7: 0.03275620028076743}"
FS,86.63623188405796,1633.4855072463768,-0.947463768115942,0.6434057971014493,-0.05297101449275362,1.919927536231884,"{14: 0.2753623188405797, 13: 0.21014492753623187, 11: 0.10869565217391304, 5: 0.07971014492753623, 8: 0.057971014492753624, 4: 0.057971014492753624, 9: 0.057971014492753624, 6: 0.036231884057971016, 1: 0.028985507246376812, 7: 0.028985507246376812, 3: 0.021739130434782608, 12: 0.021739130434782608, 2: 0.014492753623188406}"
KC,82.94722891566265,2760.467469879518,0.7229638554216867,-1.053879518072289,0.116,1.7973253012048191,"{14: 0.3204819277108434, 13: 0.14216867469879518, 11: 0.0891566265060241, 8: 0.07951807228915662, 4: 0.06746987951807229, 7: 0.06265060240963856, 5: 0.060240963855421686, 9: 0.05060240963855422, 6: 0.03855421686746988, 12: 0.033734939759036145, 2: 0.021686746987951807, 3: 0.016867469879518072, 1: 0.016867469879518072}"
SI,94.1,2142.1623672230653,-0.31920121334681495,0.6231749241658241,-0.049726996966632964,2.2990849342770474,"{13: 0.14206268958543983, 14: 0.1390293225480283, 11: 0.10566228513650151, 4: 0.08038422649140546, 6: 0.07735085945399393, 12: 0.07633973710819009, 8: 0.07280080889787664, 5: 0.07229524772497473, 7: 0.06268958543983821, 9: 0.06117290192113246, 3: 0.03993933265925177, 1: 0.03538928210313448, 2: 0.03488372093023256}"
SL,86.10286152273888,2502.8695652173915,0.12206438426162493,0.19434338272866633,0.1270056208482371,1.8516607051609606,"{14: 0.28513030148185997, 13: 0.18650996423096577, 9: 0.07153806847215124, 5: 0.06898313745528871, 8: 0.06642820643842616, 6: 0.052120592743995914, 7: 0.050076647930505876, 11: 0.04905467552376086, 4: 0.04854368932038835, 12: 0.0403679100664282, 2: 0.02963719979560552, 3: 0.026571282575370465, 1: 0.025038323965252938}"
ST,81.76233766233766,2646.746753246753,0.8596753246753246,0.01012987012987013,0.24500000000000002,2.0553896103896103,"{14: 0.3181818181818182, 13: 0.1038961038961039, 11: 0.08441558441558442, 6: 0.07792207792207792, 5: 0.07142857142857142, 9: 0.06493506493506493, 12: 0.05844155844155844, 2: 0.05844155844155844, 8: 0.05194805194805195, 4: 0.05194805194805195, 7: 0.03896103896103896, 3: 0.01948051948051948}"
SV,82.28660714285715,2816.5803571428573,-1.2698214285714287,0.06294642857142857,-0.3563392857142857,1.9780357142857141,"{13: 0.4107142857142857, 2: 0.08928571428571429, 5: 0.08035714285714286, 7: 0.07142857142857142, 4: 0.07142857142857142, 1: 0.0625, 12: 0.044642857142857144, 8: 0.044642857142857144, 14: 0.03571428571428571, 6: 0.026785714285714284, 9: 0.026785714285714284, 11: 0.026785714285714284, 3: 0.008928571428571428}"
CH,85.18188113604488,1740.1695303550973,-0.3541136244082062,0.5310678590215676,-0.07424351332398317,1.826311360448808,"{13.0: 0.24763323983169705, 14.0: 0.2348352033660589, 8.0: 0.08248597475455821, 7.0: 0.0781030855539972, 11.0: 0.07617461430575036, 9.0: 0.059694950911640954, 4.0: 0.04838709677419355, 12.0: 0.04680925666199159, 5.0: 0.04593267882187938, 6.0: 0.035326086956521736, 1.0: 0.01858345021037868, 2.0: 0.014463534361851332, 3.0: 0.011570827489481066}"
CS,68.732,2448.0,1.0876000000000001,-1.138,-0.3804,1.9836,"{14.0: 0.2, 13.0: 0.2, 7.0: 0.16, 11.0: 0.12, 2.0: 0.08, 8.0: 0.08, 4.0: 0.08, 9.0: 0.04, 5.0: 0.04}"
CU,78.54932019977802,2496.2893125521846,0.3618382352941177,-0.7929855715871255,0.06887902330743619,1.858071587125416,"{14.0: 0.2749722530521643, 13.0: 0.17425083240843509, 8.0: 0.0747780244173141, 11.0: 0.06936736958934517, 5.0: 0.06548279689234185, 9.0: 0.06409544950055494, 7.0: 0.05438401775804662, 4.0: 0.052580466148723644, 6.0: 0.04467258601553829, 12.0: 0.04397891231964484, 2.0: 0.034822419533851276, 1.0: 0.027330743618201998, 3.0: 0.01928412874583796}"
EP,58.550000000000004,1828.0,0.5766666666666667,-0.245,1.02,2.3983333333333334,"{14.0: 0.5, 12.0: 0.3333333333333333, 1.0: 0.16666666666666666}"
FA,62.36220472440945,1518.5396825396826,-0.36,1.4939370078740157,0.0184251968503937,3.1089763779527555,"{12.0: 0.25984251968503935, 11.0: 0.2283464566929134, 14.0: 0.12598425196850394, 1.0: 0.07086614173228346, 4.0: 0.06299212598425197, 13.0: 0.05511811023622047, 2.0: 0.03937007874015748, 9.0: 0.03937007874015748, 5.0: 0.03937007874015748, 6.0: 0.023622047244094488, 8.0: 0.023622047244094488, 3.0: 0.023622047244094488, 7.0: 0.007874015748031496}"
FC,88.7230024213075,2354.6326618088297,0.11534539239424584,0.6901353083606323,0.18155390969947302,2.3770189431704885,"{14.0: 0.20039880358923232, 12.0: 0.1095285571855861, 13.0: 0.09614015097564449, 11.0: 0.08574277168494517, 6.0: 0.07563025210084033, 5.0: 0.07164221620851731, 9.0: 0.06181455633100698, 2.0: 0.058253809998575705, 4.0: 0.05526278307933343, 3.0: 0.05412334425295542, 8.0: 0.05312633527987466, 1.0: 0.04201680672268908, 7.0: 0.03631961259079903}"
