batter_id,pitcher_id,total_pitches,avg_velocity,avg_spin_rate,avg_horizontal_break,avg_vertical_break,avg_plate_x,avg_plate_z,total_batted_balls,most_common_pitch,zone_distribution
408234,676604,6,87.78333333333335,2586.0,0.3433333333333333,0.22,0.8083333333333332,1.7783333333333333,2,SL,"{14.0: 0.5, 9.0: 0.3333333333333333, 3.0: 0.16666666666666666}"
425772,592351,9,87.6888888888889,2134.4444444444443,-0.30000000000000004,0.6233333333333333,0.5677777777777778,1.0444444444444445,2,SL,"{14.0: 0.5555555555555556, 12.0: 0.1111111111111111, 13.0: 0.1111111111111111, 7.0: 0.1111111111111111, 8.0: 0.1111111111111111}"
425783,451584,6,91.46666666666665,2472.3333333333335,-0.145,1.5333333333333332,0.27499999999999997,2.1599999999999997,1,FF,"{14.0: 0.3333333333333333, 3.0: 0.16666666666666666, 11.0: 0.16666666666666666, 4.0: 0.16666666666666666, 13.0: 0.16666666666666666}"
425783,518876,7,87.42857142857143,2381.4285714285716,-0.3357142857142857,0.3685714285714286,-0.02857142857142856,2.1314285714285712,3,FC,"{1.0: 0.2857142857142857, 5.0: 0.2857142857142857, 2.0: 0.14285714285714285, 13.0: 0.14285714285714285, 14.0: 0.14285714285714285}"
425783,592351,12,89.51666666666667,2092.3333333333335,-0.66,0.7241666666666666,0.33249999999999996,2.0775,3,FF,"{8.0: 0.25, 14.0: 0.25, 12.0: 0.16666666666666666, 9.0: 0.08333333333333333, 5.0: 0.08333333333333333, 6.0: 0.08333333333333333, 11.0: 0.08333333333333333}"
425783,593974,1,96.6,2170.0,0.85,1.27,-0.28,2.17,1,FF,{4.0: 1.0}
425783,605177,6,86.73333333333333,2352.6666666666665,0.19499999999999998,0.4466666666666666,-0.4266666666666666,1.5133333333333334,1,SL,"{13.0: 0.5, 8.0: 0.16666666666666666, 7.0: 0.16666666666666666, 3.0: 0.16666666666666666}"
425783,608032,6,92.81666666666666,1870.0,-0.7283333333333334,1.235,-0.365,3.2733333333333334,2,FF,"{11.0: 0.5, 9.0: 0.16666666666666666, 12.0: 0.16666666666666666, 6.0: 0.16666666666666666}"
425783,608566,13,93.3153846153846,2305.6923076923076,-0.6138461538461539,0.8646153846153847,-0.09307692307692307,2.603846153846154,3,FF,"{5.0: 0.23076923076923078, 7.0: 0.15384615384615385, 14.0: 0.15384615384615385, 11.0: 0.15384615384615385, 1.0: 0.15384615384615385, 6.0: 0.07692307692307693, 12.0: 0.07692307692307693}"
425783,622075,4,91.925,1954.75,-0.8775,1.13,-1.215,1.8624999999999998,1,FF,"{13.0: 0.5, 7.0: 0.25, 11.0: 0.25}"
